Boxer's left,                           Nelson strangle
Straight right, parry,                   Nelson strangle
Right and left,                            Face ulna throw,juji gatame
Right and left,                            Hammerlock
Straight right, parry,                   Mawashi geri,inside armtwist
Front flex,                              Comealong
Judolock,                                Comealong
Cross twist,yubi tori                   Comealong
Pivot yubi tori                         Comealong
Ulna press, barﬂeX                       Comealong
Right and left,                            Mae geri, osoto gari
Front choke, parry,                      Yoko geri, inside armtwist
Knife thrust,                            Wrist twist, yubi tori
Front choke,                             Ude tori
Right and left,                            Wristlock, hammerlock
Rear hug (free),                         Wristlock, hammerlock
Two-on-one rear elbow,                   Ulna press, barﬂeX
Knife thrust, gedan shuto,               Cross twist, fleX
Straight right, parry,                   Ude tori, rear otoshi
Front headlock,                          Haitto, pivot, front flex
