POLICE HAMMERLOCK,    ALLIGATOR ROLL
RIGHT LEFT,    SUTEMI WINGLOCK
FRONT HEADLOCK,    OSOTO GARI SUTEMI
FRONT HEADLOCK,    SIT SUTEMI HAMMERLOCK
FRONT HEADLOCK,   CROSS OVER FACE HOLD
RIGHT BLOW, block,    KNEELING IPPON SEOI
COLLAR HOLD,   IN AND OUT KNEELING THROW
KNIFE, MAWASHI GERI (mat) , FUMI KOMI
KNIFE THREAT,    MIKAZUKI , USHIRO GERI
KNIFE, parry, REVERSE HADAKA GATAME
RIGHT BLOW, parry,   FULL NELSON (counter), LEG PULL, ASHI HISHIGI
FRONT HUG PIN ,    OSOTO GURUMA , CAROTID JIME
RIGHT BLOW, block,    KATA GURUMA , MOROTE GATAME
FRONT CHOKE,    SUTEMI LEGOVER JUJI GATAME
RIGHT BLOW, block,    SAKE NUKI , SMOTHER GATAME
FRONT CHOKE,    TOMOE NAGE JIME
RIGHT LEFT,    FRONT HADAKA , TORA NAGE
RIGHT LEFT,    WRISTLOCK , UKI WAZA , KEYLOCK
RIGHT LEFT,    MOROTE SEOI NAGE , BEARCLAW
COLLAR HOLD,    OUTSIDE DOUBLE GAESHI
RIGHT LEFT,    AIRPLANE SPIN , ASHI HISHIGI
KNIFE, parry,    BELT CHOKE OTOSHI
