front choke, parry, haitto, cross shuto, osoto gari
right blow, block, hiji, sakotsu, osoto gari
right and left, spin, sakotsu, osoto gari
club blow, juji uke, armbreak (side), sakotsu, osoto gari
right and left, lo hi lo, double ura tsuki, bodyslam
rear strangle, right left hiji, ippon seoi
club blow, juji uke, sakotsu, double ura tsuki, bodyslam
front hug (pinned), windmill, sakotsu, osoto gari
police hammerlock, hiji, armbreak (side), sakotsu, osoto gari
straight lapel, arm, neck shutos, ura tsuki, bodyslam
boxers left, parry, left hook, left uraken, standing tani otoshi
front choke, parry, right hook, right uraken, inside armtwist
double lapel, knee up, ear slap, kidney chops, headlock throw
rear hug (pinned), windmill, sakotsu, osoto gari
front headlock, groin haitto (pivot), mae geri, sakotsu, osoto gari
front choke, ude uke, mae geri, tate tsuki, bodyslam
straight right, parry, yoko shuto, left uraken, collar drag down
straight right, parry, yoko haitto, cross shuto, standing tani otoshi
boxers left, arm thigh chops, left shotei, tackle ouchi
front choke, parry, yoko shuto, left uraken, inside armtwist
knife thrust, left gedan, elbow break (up), right mae geri, inside armtwist
right blow, block, elbow break (side), left uraken, bodyslam
front hug (free), knee, ear slap, kidney chops, eyes takedown
front choke, winglock (to side), double haitto, osoto guruma
right and left, knee to face, double uras, lapel guruma
