front choke, bodyslam
club blow, age uke, bodyslam
rear hug free, sukui nage
full nelson, sukui nage
front choke, parry, kosoto gari
attempted side headlock, kosoto gari
straight lapel, arm chop, neck shuto, groin haitto, bodyslam
right and left, ogoshi
double lapel, headlock throw
right and left, lnside lift
side headlock, side thunderbolt
boxers left, tani otoshi
straight lapel, kane sute
right and left, ouchi gari
right and left, kouchi gari
front choke, tsurikomi goshi
front choke, front thunderbolt
right and left, sashi tsurikomi ashi
rear hug pinned, ippon seoi
full nelson, maki komi
rear strangle, uki otoshi
boxers left, tackle ouchi
right and left, lightning throw
right and left, maki geashi
side headlock, yoko guruma
right and left, lapel guruma
front choke, parry, wrist guruma
right and left, uki otoshi
front choke, tomoe nage
full nelson, maki komi harai
