front choke, osoto gari
bent lapel, osoto gari
right blow, block, osoto gari
front hug free, osoto gari
rear hug free, osoto gari
right and left, osoto gari
front hug pinned, osoto gari ["hip push (zen)" on stanford chart]
rear hug pinned, osoto gari 
rear strangle, osoto gari ["rear hadaka jime" on stanford chart]
attempted full nelson, osoto gari ["full nelson" on sf chart, "arm trap, stomp" on stanford charts]
attempted side headlock, osoto gari
front choke pushing, parry, osoto gari ["attempted front choke, nagashi uke" on stanford charts]
front headlock, pivot, osoto gari ["attempted front headlock, gedan shuto, groin haito"]
right and left, mae geri, osoto gari
straight right, parry, mawashi geri, osoto gari ["R. mawashi geri" on stanford chart]
